Ticker,Weightage,2023-04-27,2023-04-28
ADANIPORTS,0.0082,124.28950359984843,120.3581410086828
APOLLOHOSP,0.0061,13.808715336728921,13.514411095213813
ASIANPAINT,0.0195,67.24253979666102,67.18693246464973
AXISBANK,0.0257,291.58156669084343,298.83720930232556
BAJAJFINSV,0.012,88.23529411764706,88.58376542819947
BAJFINANCE,0.0237,38.225499385636866,37.73825198876194
BHARTIARTL,0.0233,296.24920534011443,291.5050713854767
BPCL,0.0046,129.34064611115608,128.6353445606045
BRITANNIA,0.0052,11.775762050346646,11.419662072537415
CIPLA,0.0068,74.40231860798575,74.88574518378132
COALINDIA,0.0051,220.0647249190939,218.7902130613922
DIVISLAB,0.0077,23.77680716422267,23.562533217365473
DRREDDY,0.0067,13.621901304353438,13.590676931911814
EICHERMOT,0.0049,15.014324666966548,14.843536563701761
GRASIM,0.0085,49.958856694664014,49.409985227810886
HCLTECH,0.0153,142.82380396732788,143.7834822952156
HDFCBANK,0.081,481.85603807257587,479.971564184674
HDFCLIFE,0.0072,139.0364070569538,135.9131665880132
HEROMOTOCO,0.0043,17.140693868772402,16.806065175792504
HINDALCO,0.0094,218.1987062756695,215.54688989774408
HINDUNILVR,0.0267,108.14313990985106,108.65583961849961
ICICIBANK,0.069,751.3475454276103,751.9206469161035
INDUSINDBK,0.0085,74.25202009172308,73.73351526694196
INFY,0.0766,614.6439317953862,611.4547994412293
ITC,0.0303,728.3653846153846,712.0197595855891
JSWSTEEL,0.0094,128.39776415067755,129.60154636984714
KOTAKBANK,0.0351,183.90443492080811,181.10987392314152
LT,0.0274,118.8410775478947,115.88564173446
MARUTI,0.0137,16.0366146199906,15.949613555443404
NESTLEIND,0.0087,4.114000216856872,3.99790447481865
NTPC,0.0099,579.1167111279553,575.5813953488373
ONGC,0.0078,487.3476945500335,490.720361733625
POWERGRID,0.0104,440.77135556315926,438.35616438356163
RELIANCE,0.1286,541.0066988846079,531.2951869448461
SBILIFE,0.0065,57.16546960003281,57.012543980271744
SBIN,0.0254,449.7565294378043,439.2184080262024
SHREECEM,0.0046,1.9371846173459946,1.890324271837491
SUNPHARMA,0.0134,136.91631585639956,135.67559022691
TATACONSUM,0.0066,87.53315649867373,86.4044015310368
TATAMOTORS,0.0105,218.0232530508548,216.5171612681065
TATASTEEL,0.0137,1272.642805927554,1269.1061035016626
TCS,0.0491,154.01747440216582,152.51999689368643
TECHM,0.0105,104.67028604353595,102.5691108214669
TITAN,0.0137,51.43704687963902,51.85759787110603
ULTRACEMCO,0.0102,13.598368372857347,13.498848278699109
UPL,0.006,82.50824944007043,81.04822502952617
WIPRO,0.0101,269.7649616626994,262.3376623376623
